description,claimType
"water is currently leaking through ceiling in kitchen.  Bathroom is room above. Im unable to isolate the exact cause of the leak, but I think it may be coming from a radiator pipe.  Bathroom above is tiled, so underfloor pipes cannot be accessed.",ESCAPEWATER
Leak from kitchen ceiling,ESCAPEWATER
I was holding my phone and as I turned round I accidentally knocked it against the car door and it fell to the floor where it landed on a stone which smashed the screen.,ADSPECIFIED
Apparent leak to side of shower unit as discovered today requiring investigation and repair of affected area(s),ESCAPEWATER
"My boyfriend removed the bath as were are replacing it with a shower turn off the water at the mains, drained the bath tap to allow all the water out, later turned the mains tap back on before going to bed. But didn't know the bath taps were on the water leaked from the bathroom taps (showerhead) down into the dinning area of the kitchen. I found the leak when I woke up in the morning cleaned up as best as I could however it's very wet, the elec ares also effected I went to turn the light on near the fridge and it was making a noise i got s small shock of it, the dinning room is near a downstair WC where water was also leaking from the light fittings.",ESCAPEWATER
Back fence was knocked broken and knocked down and door was damaged,BURGLARY
"My washing machine started to smoke, turned off to stop any further damage.",ADCONTENTS
Child damaged iPhone 6 by washing it and dropped  iPad,ADSPECIFIED
Daughter Broke iPad 2,ADSPECIFIED
I noticed the laminate boarded kitchen floor seemed raised in parts. I inspected the stopcock and it seemed to be letting water out. I turned it off and got a plumber out. He came today and replaced the seal. Stopcock now ok but water damage to kitchen floor.,ESCAPEWATER
Storm Doris blew some of the roof off & damaged other parts,STORM
Broke LED screen on TV by accidently knocking it over,ADCONTENTS
Freezer stopped Freezing and contents have defrosted got engineer coming 21/03/17,FREEZER
There may be a water leak in the ceiling,ESCAPEWATER
water split on computer,ADSPECIFIED
Electrical power cut,OTHER
"chimney fire,causind damage to roof",FIRE
I dropped my phone while getting off a train and the screen is badly damaged,ADSPECIFIED
I was cutting the grass at the property and caught a pebble which smashed into the window and broke it.,ADBUILDINGS
Lost my gold bracelet while out shopping in Perth. Put it on in the morning and when I went to take it off at night it was not there. That is when I realised I must have lost it. Reported it to the police the next day.,ADSPECIFIED
I woke to find my floor wet in the kitchen to discover my freezer had stopped working and all  contents defrosted,FREEZER
Severn Trent engineers have identified a leak possibly coming from our property to the main water supply,ESCAPEWATER
Some jewellery has been lost,ADSPECIFIED
"my wife went swimming in the waters off Bournemouth beach, wearing her diamond ring. Somehow the ring came loose off her finger and she lost it in the water. We searched for the ring but were not able to find it",ADSPECIFIED
Just arrived home from a weeks holiday to find our whole bedroom roof has collapsed into the bedroom all over the whole room. Water is still dripping in and we have nowhere to sleep tonight. Please contact us asap.,STORM
"I dropped my (Olympus OMD10 Mk2) camera onto the kitchen floor, resulting in damage to the glass LCD screen, casing and lens (which is cracked open).  Lens now doesn't operate properly, and the camera's damage is both physical and electronic (It occasionally doesn't lock focus using another lens)",ADSPECIFIED
Rain through porch roof,STORM
For the last few weeks we have made living room improvements.We moved most of our furniture upstairs.We finished this week.By inserting our stuff back we accidently damaged our sofa.Sorry for any language mistakes.,ADCONTENTS
"During the thunderstorm and bad weather on the night of the 19th July 2017 my husband was awoken by water running out of our light fitting in our bedroom, we also found two other areas where water had been leaking in - in the kitchen and also in the back room. My husband is an electrician so was able to remove the light fitting safely but water continued to leak in. I am keen for someone to assess the damage and to understand where we go from here as I am concerned it may continue to leak in the continued bad weather.",STORM
an expensive Lladro ornament was accidentally knocked off the windowsill and smashed,ADCONTENTS
The rain storm a few days ago damaged visually the ceiling in the bathroom and the room downstairs and I don't know what else,STORM
I bumped into the ironing board and the iron fell off and marked the carpet,ADCONTENTS
"Burglars disabled the tool shed alarm, took the door off the hinges (which had secuirty unscreawable screws on it) and stole tools from the shed. They also tried to break into our garden shed, broke the padlock and also broke our PIR secuirty light by the kitchen.",BURGLARY
a rear double glazed window pane was smashed due to a stone flying up from lawn mower whilst cutting the grass.,ADBUILDINGS
"damage to house roof. Initial indications are that some tile battens have rotted. Date of observed damage was very recent, although unclear as to whether it actually occurred on 30 Jul 17. Roof in immediate area is bowed.",OTHER
"burglars removed back window,  Tried to kick door in and failed. Triggered alarm and took internal CCTV camera.  Stole jewellery, watches, car keys, pens.  Full list to be compiled.",BURGLARY
dropped mobile phone and screen is shattered,ADSPECIFIED
My dog bite another dog now liable for vets fees,PLINJURY
Toilet broke and water came gushing out and came through kitchen ceiling. Affected all electrical appliances and lighting in kitchen and wooden ceiling and cupboards. I have 3 children one under 3 and one with special needs and we have no kitchen facilities and limited bathroom facilities. I need an emergency plumber and electrician,ESCAPEWATER
my little boy through his pajamas and knocked a broom which was next to my tv broom knocked my tv over which landed on my phone now my phone and tv are broken,ADCONTENTS
Water was coming through ground floor ceiling from 1st floor bathroom - believe to be shower. Once shower stopped water stopped. But requires investigation.,ESCAPEWATER
tree damage to neighbours garages,PLPROPERTY
"a burst pipe in toilet inlet in main bathroom led to flooding through bathroom, landing and water leaking through kitchen, dining room, family room, hallway & garage through walls, light fittings, sockets and gaps in plasterboard ceiling",BURSTPIPE
Damagetoclawofengagementringanddiamondlostasaresult,ADSPECIFIED
"I return to the property around 12.45pm today and the front door was forced open.  I have checked the house briefly and can only see the TV stolen.  I am currently waiting the police arrival so do not want to go through the house too much until they arrive.  The number I have provided is an INCIDENT NO. The door has been forced and both locks broken so the property is NOT secure.  I am not sure what to do now, PLEASE CAN YOU CALL ME ASAP.",BURGLARY
inernalpipeleakedandwentunnoticedatfirstasitsinternalandwasidentifiedbecausewaterstartedseepingthroughthefloortiles.,ESCAPEWATER
there was a water leak from boiler in first floor which has dripped down and caused dampening on roof of ground floor.,ESCAPEWATER
we have a live current going through the water pipes giving electrical charges in the shower.,OTHER
Help/advice please!  I am policyholder's sister.  My sister is currently in hospital having an operation and her daughter and I are keeping eye on her property.  Daughter has discovered a serious leak from hot water cylinder.  Can you help with finding an emergency plumber??  My sister obviously is unaware of this problem and we can't worry her with this just at the moment.  Can you help?  Many thanks  June Ricketts Landline 01763 2 71785   .,ESCAPEWATER
a_leaking_pipe_from_1st_floor_toilet,ESCAPEWATER
Boiler just started leaking with no warning,ESCAPEWATER
"A suspected leak in the drainage under the rear of the property has caused the extension to rotationally subside, in turn pulling away the rear wall of the original property on the first floor.  A Chartered Structural Engineer completed a Structural Survey on the property on Tuesday 3rd and the report came in yesterday (the 4th).",SUBSIDENCE
"we noticed some water damage in the kitchen - because our policy states you cover 'finding and accessing the leak', we thought we ought to inform you asap before the damage gets any worse.",ESCAPEWATER
Slate roof leaking & water dripping through to the kitchen,STORM
"Today I unfortunately stepped on my hearing aid, which shattered into small pieces.",ADSPECIFIED
the TV on the wall fell off the bracket and the screen broke when it landed on the radiator.,ADCONTENTS
Grandson poured milk onto my iphone,ADSPECIFIED
Storm Ophelias; conifer tree fallen; damage to the boundary wall,STORM
"Water leak that has affected ceiling 3 walls, carpet and electrical equipment in our lounge and the airing cupboard",ESCAPEWATER
